# Param [mu_1, mu_2, mu_3, mu_4, time]: [ 2.6069894   2.60699289  8.78605898  5.25801218  5.38707724]
# Initial condition [x_0, y_0, v_x_0, v_y_0]: [  0 -10   0   2], Final condition [x_f, y_f, v_x_f, v_y_f]: [10  0  2  0] 
# Maximum acceleration (L2 norm): 1
t, x, y, vx, vy, ux, uy
0.000000,0.000000,-9.980000,0.008581,2.005135,0.858079,0.513517
0.500000,0.110413,-8.916260,0.443950,2.250888,0.884122,0.467256
1.000000,0.442041,-7.736247,0.894480,2.467420,0.918992,0.394277
1.500000,1.003636,-6.458767,1.365073,2.635226,0.963864,0.266395
2.000000,1.806119,-5.117222,1.857844,2.711373,0.999924,0.012324
2.500000,2.855630,-3.778004,2.339751,2.601331,0.874297,-0.485391
3.000000,4.113844,-2.559680,2.654494,2.226532,0.352397,-0.935851
3.500000,5.463014,-1.566171,2.706862,1.733393,-0.087190,-0.996192
4.000000,6.795145,-0.819926,2.601924,1.245535,-0.302687,-0.953090
4.500000,8.053687,-0.312023,2.419437,0.780339,-0.414142,-0.910212
5.000000,9.209622,-0.031894,2.194417,0.333958,-0.479453,-0.877567
