# Param [mu_1, mu_2, mu_3, mu_4, time]: [-10.28992553 -10.28999189 -55.09490124 -99.69784971  15.04308457]
# Initial condition [x_0, y_0, v_x_0, v_y_0]: [  0 -10   0   6], Final condition [x_f, y_f, v_x_f, v_y_f]: [10  0  6  0] 
# Maximum acceleration (L2 norm): 1
t, x, y, vx, vy, ux, uy
0.000000,0.000000,-9.940000,-0.004837,5.991248,-0.483678,-0.875246
0.500000,-0.061002,-7.051958,-0.242543,5.551375,-0.467103,-0.884203
1.000000,-0.238727,-4.384986,-0.471344,5.106807,-0.448022,-0.894023
1.500000,-0.528394,-1.941538,-0.689846,4.657091,-0.425858,-0.904790
2.000000,-0.924446,0.275690,-0.896323,4.201734,-0.399856,-0.916578
2.500000,-1.420361,2.263752,-1.088613,3.740213,-0.369017,-0.929423
3.000000,-2.008403,4.019437,-1.263973,3.272008,-0.332003,-0.943278
3.500000,-2.679279,5.539286,-1.418878,2.796658,-0.287007,-0.957928
4.000000,-3.421691,6.819647,-1.548744,2.313889,-0.231583,-0.972815
4.500000,-4.221714,7.856823,-1.647558,1.823856,-0.162446,-0.986717
5.000000,-5.061976,8.647390,-1.707419,1.327614,-0.075338,-0.997158
5.500000,-5.920592,9.188834,-1.718075,0.827982,0.034772,-0.999395
6.000000,-6.769939,9.480770,-1.666795,0.331022,0.172431,-0.985022
6.500000,-7.575582,9.527064,-1.539394,-0.151838,0.338135,-0.941098
7.000000,-8.296296,9.339012,-1.323788,-0.601995,0.522043,-0.852919
7.500000,-8.886615,8.938808,-1.016488,-0.995058,0.700043,-0.714100
8.000000,-9.302672,8.360874,-0.628086,-1.308216,0.842914,-0.538048
8.500000,-9.509072,7.648598,-0.180918,-1.529918,0.935430,-0.353513
9.000000,-9.482569,6.847580,0.300435,-1.662837,0.982615,-0.185654
9.500000,-9.211052,5.999560,0.796887,-1.718711,0.998964,-0.045498
10.000000,-8.690153,5.139582,1.296577,-1.711733,0.997764,0.066833
10.500000,-7.919993,4.295823,1.793156,-1.654782,0.987801,0.155720
11.000000,-6.902957,3.490613,2.283645,-1.558276,0.974075,0.226223
11.500000,-5.642426,2.741666,2.766906,-1.430259,0.959212,0.282687
12.000000,-4.142087,2.063171,3.242741,-1.276853,0.944513,0.328474
12.500000,-2.405604,1.466624,3.711405,-1.102725,0.930577,0.366097
13.000000,-0.436455,0.961471,4.173351,-0.911461,0.917641,0.397410
13.500000,1.762126,0.555568,4.629099,-0.705848,0.905763,0.423786
14.000000,4.187168,0.255530,5.079171,-0.488082,0.894909,0.446248
14.500000,6.835958,0.066989,5.524064,-0.259913,0.885011,0.465569
15.000000,9.706020,-0.005213,5.964233,-0.022756,0.875983,0.482341
